definitionId,tier,mergeLineage,visualId,visualFamily,sourceHash,sourceSha256,rarity,mappingEvidence,referenceHumanName,notes
hero_tier_1,1,heroes,hero_turtle_warrior__1815x1620,turtle_warrior,f123b258ee3365da347c09a0e172003fe3c78520,1c237ea3661612276711c5bb4548ebc78e58f176f0ce15edf1e3b2275338b1ca,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_2,2,heroes,hero_fox_sorcerer__1828x1679,fox_sorcerer,e5183844bfdb30bb2d3a1c81ae1474e29643daba,865ed674fc801e56a8a5aefd4ca5a8206c45bcc68bd98edf35e8d46d831b8f06,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_3,3,heroes,hero_raccoon_engineer__1617x1662,raccoon_engineer,88cdae02ce87495159d9dc9940267c2a906f5100,800cd6f6e5c013bc35dbda41e27964de388aaf62c5d2892c4ab02d8f80805799,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_4,4,heroes,hero_owl_mage__1813x1760,owl_mage,db498372af9d5b4323316175984ae19604bd2d28,36a86bab0a33a6123120197a3737429812d8581fc4f153fa05636a1642197f50,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_5,5,heroes,hero_panda_monk__1705x1775,panda_monk,b7d79aea43cb644cba83ab14923ec3deba9efa51,43f57af8c76b8db945eb4493b5d941aa86f2f69eba999b6baa410451164d178b,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_6,6,heroes,hero_bunny_assassin__1711x1827,bunny_assassin,fb3d4b7bdcf5505797f86cffd17d04e5fc32f3ab,c6d31753476eefb819839e82e6771e5af8769ee4a1a4dd1e4b72b7c001f04679,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_7,7,heroes,hero_lion_knight__1616x1788,lion_knight,b4005f1aa7994a120176ed0c22354d7bdbad2131,16dd368f0784fcd8000f08bc001998e8e043123123487605f5a9eafafc6916fc,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_8,8,heroes,hero_ice_fairy__1718x1740,ice_fairy,7d89a5b1428ce1d8664a5023c0bd4a196292688c,c5bca6b0f0bdea1962f2f1882f0457b8dd53cc27c6e90edd9c25573d25929579,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_9,9,heroes,hero_inferno_dragon__1886x1748,inferno_dragon,531d002be7c9fa402b324aebc0597b2e89bbe538,98edc841daa5099456253acb15c58dcfd13ec3e3b665c88a97560f9e251d778f,UNKNOWN,OBSERVED_FIGMA_TIER_BADGE,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
hero_tier_10,10,heroes,hero_elf_archer__1797x1858,elf_archer,1e615ffee51f6045a4682a21538b096f62e47134,f66d72d08e1210eafa306471c8867f9b06ae849ff9fd77eae6df7604525c0be7,UNKNOWN,PROPOSED_EXTENSION,NOT_EQUIVALENT,Local preview selection; silhouette verified on hero contact sheet. Gold ornament does not imply rarity.
