pairId,semanticA,semanticB,sourceSha256A,sourceSha256B,dimensionsA,dimensionsB,alphaBoundsA,alphaBoundsB,outlineDifferenceRatio,sourceNodeIdsA,sourceNodeIdsB,scopeA,scopeB,decision,reason,reviewSheet
NEAR-001,ui_icon_crystal_snowflake__330x336,ui_icon_crystal_snowflake__1318x1341,7d440b12e9b5a2d1a074f54883ff124d5adbde1ba8ab07c2256c2409a8fe4f68,897a7ce25731c7e2aabf27807d9dc0dada59078ae11a31fd82bdd3ebe313eb6e,"[330, 336]","[1318, 1341]","[0, 0, 330, 336]","[0, 0, 1318, 1341]",0.006714,[],"[""45:1431"", ""45:1437""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-002,ui_frame_magic_gold__323x441,ui_frame_magic_gold__1289x1762,8bec1ea9c31e1b76bb2ad0857e02a5e9a0d5361a38c2c003e06154ecd742e28b,d4ac12cc66fd394d20cf6dcb518b86cf39361fdd4b97b276dcec36e54bf75482,"[323, 441]","[1289, 1762]","[0, 0, 323, 441]","[0, 0, 1289, 1762]",0.003372,[],"[""I73:438;73:409"", ""I73:442;73:409"", ""I73:453;73:409"", ""I73:454;73:409"", ""I73:460;73:409"", ""I73:461;73:409"", ""I73:462;73:409"", ""I73:463;73:409"", ""I73:473;73:409"", ""I73:474;73:409"", ""I73:475;73:409"", ""I73:476;73:409"", ""I73:477;73:409"", ""I73:478;73:409"", ""I73:479;73:409"", ""I73:480;73:409"", ""I80:937;80:910"", ""I80:941;80:910"", ""I80:945;80:910"", ""I80:949;80:910"", ""I80:950;80:910"", ""I80:951;80:910"", ""80:910"", ""73:409""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-003,equipment_fox_sorcerer_staff__462x747,equipment_fox_sorcerer_staff__231x374,79721ca5ecb40c17dd507586c745450d238c1232b7bd035367575b0224605552,ac234bb903a02124235d830d4740bd3f25719af669b9172cd1fb723277b9ea44,"[462, 747]","[231, 374]","[0, 0, 462, 747]","[0, 0, 231, 374]",0.001938,"[""80:1058""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-004,relic_compass_gold__538x602,relic_compass_gold__269x301,83addef0f4fb65cfceff32bab38c40c1dd758fe4b2d8f0dcc35329487cbb008f,a0d8d29483d65bcabc214c8a9ba6fd8fe449e20c2e03af07cefd7aee96f08271,"[538, 602]","[269, 301]","[0, 0, 538, 602]","[0, 0, 269, 301]",0.000107,"[""I73:462;73:436"", ""73:503""]",[],USED_POST_MVP,USED_POST_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-005,equipment_elf_archer_hood__311x328,equipment_elf_archer_hood__622x656,9120a2e104e6dd85579d3234caafd75a786d77dc113db298805f35627e2aac98,06edf2dafd622adc1b9a07d4a2e56f5179d097bbbb3a857ab9994decfad013e6,"[311, 328]","[622, 656]","[0, 0, 311, 328]","[0, 0, 622, 656]",6.1e-05,[],"[""I80:941;80:911"", ""80:1011""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-006,relic_infernal_mask__1628x1757,relic_infernal_mask__407x440,562460c20896f47952619b5aa3afe1d0135d3b177e9cb0b9e0b58fa28ea08e93,e28e5ee62daca30f3316a1eebc6445570e59ab0b5a9fc665787b85453c409d58,"[1628, 1757]","[407, 440]","[0, 0, 1628, 1757]","[0, 0, 407, 440]",0.002151,"[""52:1474""]",[],USED_POST_MVP,USED_POST_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-007,hero_ice_fairy__430x435,hero_ice_fairy__1718x1740,537e1126739256391509a32336c907a37a22e91cd73f4e97e8402b55f38cf6d3,c5bca6b0f0bdea1962f2f1882f0457b8dd53cc27c6e90edd9c25573d25929579,"[430, 435]","[1718, 1740]","[0, 0, 430, 435]","[0, 0, 1718, 1740]",0.003479,[],"[""I30:1296;30:1265"", ""32:1313"", ""I89:1604;89:1451"", ""89:1451"", ""89:1525"", ""39:1379""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-008,enemy_poison_mushroom__1596x1576,enemy_poison_mushroom__399x394,41aa0e1ac6e0eb6205846f41196a20372274580c3b45ffe5733bdbf86ee0a0b7,ac0ff3f9a1dc8a8027c5773949dcae493d79ca82fa904fa7a9eadb6266cd908a,"[1596, 1576]","[399, 394]","[0, 0, 1596, 1576]","[0, 0, 399, 394]",0.000153,"[""37:1347""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-009,equipment_bunny_assassin_pants__261x290,equipment_bunny_assassin_pants__522x580,3d5df4d8d308bf1a8e334541dd302b34fdc06088f388b14a6fd51cf887c4da83,789cd6730a51e652cdd6be69c8945e90064a4cd49b97b1a8538234e4a30e0c7f,"[261, 290]","[522, 580]","[0, 0, 261, 290]","[0, 0, 522, 580]",7.6e-05,[],"[""80:1021""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-010,branding_hero_collage__1536x1024,branding_hero_collage__384x256,701846984cec94771523267c0425b1600a935382acb03e4e7b8b038c70f9bf43,d209be58a60c0fe4a96a46f3cd93d9452cb44c34eb06c95ca9092296ac9c0535,"[1536, 1024]","[384, 256]","[0, 0, 1536, 1016]","[0, 0, 384, 254]",0.003448,"[""2:410"", ""91:558"", ""110:1166"", ""I109:602;110:1166"", ""I109:604;110:1166"", ""I109:606;110:1166"", ""I109:608;110:1166"", ""I109:610;110:1166"", ""I109:612;110:1166""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
