purchaseOrdinal,candidate,displayedPrice,prediction,residualObservedMinusPrediction
1,constant_1,1,1,0
2,constant_1,1,1,0
3,constant_1,1,1,0
4,constant_1,1,1,0
5,constant_1,1,1,0
6,constant_1,1,1,0
7,constant_1,1,1,0
8,constant_1,1,1,0
9,constant_1,1,1,0
10,constant_1,1,1,0
11,constant_1,1,1,0
12,constant_1,1,1,0
13,constant_1,1,1,0
14,constant_1,1,1,0
15,constant_1,1,1,0
16,constant_1,2,1,1
17,constant_1,2,1,1
18,constant_1,2,1,1
19,constant_1,2,1,1
20,constant_1,2,1,1
21,constant_1,2,1,1
22,constant_1,2,1,1
23,constant_1,2,1,1
24,constant_1,3,1,2
25,constant_1,3,1,2
26,constant_1,3,1,2
27,constant_1,3,1,2
28,constant_1,3,1,2
29,constant_1,3,1,2
30,constant_1,4,1,3
1,raw_exponential_1.05,1,1.0,0.0
2,raw_exponential_1.05,1,1.05,-0.050000000000000044
3,raw_exponential_1.05,1,1.1025,-0.10250000000000004
4,raw_exponential_1.05,1,1.1576250000000001,-0.15762500000000013
5,raw_exponential_1.05,1,1.2155062500000002,-0.21550625000000023
6,raw_exponential_1.05,1,1.2762815625000004,-0.27628156250000035
7,raw_exponential_1.05,1,1.3400956406250004,-0.3400956406250004
8,raw_exponential_1.05,1,1.4071004226562505,-0.40710042265625046
9,raw_exponential_1.05,1,1.477455443789063,-0.477455443789063
10,raw_exponential_1.05,1,1.5513282159785162,-0.5513282159785162
11,raw_exponential_1.05,1,1.628894626777442,-0.628894626777442
12,raw_exponential_1.05,1,1.7103393581163142,-0.7103393581163142
13,raw_exponential_1.05,1,1.79585632602213,-0.7958563260221301
14,raw_exponential_1.05,1,1.8856491423232367,-0.8856491423232367
15,raw_exponential_1.05,1,1.9799315994393987,-0.9799315994393987
16,raw_exponential_1.05,2,2.0789281794113688,-0.07892817941136876
17,raw_exponential_1.05,2,2.182874588381937,-0.18287458838193693
18,raw_exponential_1.05,2,2.292018317801034,-0.29201831780103404
19,raw_exponential_1.05,2,2.4066192336910857,-0.40661923369108566
20,raw_exponential_1.05,2,2.5269501953756404,-0.5269501953756404
21,raw_exponential_1.05,2,2.653297705144422,-0.6532977051444222
22,raw_exponential_1.05,2,2.7859625904016436,-0.7859625904016436
23,raw_exponential_1.05,2,2.925260719921726,-0.925260719921726
24,raw_exponential_1.05,3,3.0715237559178123,-0.07152375591781235
