eventId,trigger,visualTarget,animation,durationMsProposed,easing,vfxId,sfxId,hapticId,interruptPolicy,pool,reducedMotion,lowQuality,status
app.logo,app.loading,logo,fade+scale0.92→1,560,cubicOut,softGlow,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
start.idle,start.ready,startButton,scale1→1.025→1 loop,1800,sineInOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
start.press,button.primary,startButton,scale1→.96→1,200,quadOut,none,ui.primary,light,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
screen.transition,route.changed,screen,fade+translate12px,280,cubicOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hud.enter,battle.ready,hud,stagger fade/slide8px,280,cubicOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.spawn,hero.spawned,hero,scale0→1.08→1 from foot,280,backOut,spawnPuff,hero.spawn,light,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.idle,hero.visible,hero,scaleY1→1.02; offset0→-2,1600,sineInOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.attack,battle.attackStarted,hero,anticipation80 release60 recover140,280,quadOut,weaponArc,combat.melee,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.hit,hero.damaged,hero,flash40 knockback4px recover100,140,quadOut,hitFlash,combat.hit,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.upgrade,upgrade.committed,heroCard,scale1→1.06→1,560,backOut,upgradeRing,equipment.upgrade,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.mergeOut,hero.merged,sourceHero,converge180 then shrink90,270,quadIn,mergeTrail,merge.low,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.mergeIn,hero.merged,resultHero,reveal pop120 settle260,380,backOut,mergeBloom,merge.mid,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
enemy.spawn,enemy.spawned,enemy,fade+scale.9→1,280,cubicOut,spawnPuff,none,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
enemy.idle,enemy.visible,enemy,offset0→-2 and tilt±1deg,1800,sineInOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
enemy.attack,enemy.attackStarted,enemy,anticipate100 lunge60 recover180,340,quadOut,weaponArc,combat.melee,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
enemy.hit,battle.hit,enemy,flash40 recoil6px settle100,140,quadOut,hitFlash,combat.hit,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
enemy.death,enemy.died,enemy,squash80 fade/scale200,280,quadIn,deathPuff,enemy.deathSmall,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
boss.intro,boss.spawned,boss+banner,scale.88→1 and banner slide,900,cubicOut,bossAura,boss.intro,heavy,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
boss.hit,boss.damaged,boss,flash50 recoil3px,140,quadOut,hitFlash,combat.hit,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
boss.death,boss.defeated,boss,impact120 dissolve780,900,cubicOut,bossBurst,boss.death,heavy,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
projectile.launch,projectile.released,projectile,muzzle flash and position bind,80,linear,muzzle,combat.ranged,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
projectile.travel,projectile.inFlight,projectile,interpolate visual endpoints,280,linear,trail,none,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
projectile.impact,projectile.impacted,impact,scale.6→1.2 fade,140,quadOut,impactSpark,combat.hit,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
damage.normal,battle.hit,damageLabel,rise24px spread±8 fade,650,quadOut,none,none,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
damage.crit,battle.critical,damageLabel,pop1.25 rise32px fade,800,backOut,critStar,combat.crit,light,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
reward.coin,currency.gold.gained,coinFlyer,arc source→HUD,560,quadIn,coinSpark,economy.goldGain,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
reward.gem,currency.gem.gained,gemFlyer,arc source→HUD,650,quadIn,gemSpark,economy.gemGain,none,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
currency.bump,currency.changed,currencyCounter,count interpolation then scale1.08,280,quadOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
purchase.success,hero.purchased,buyButton,press then confirm glow,280,quadOut,buttonGlow,economy.goldSpend,light,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
purchase.failure,purchase.rejected,buyButton,horizontal shake±4px,180,quadOut,none,ui.error,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
