platform,phase,cycle,epochSeconds,pid,rssKiB,pssKiB,physicalFootprintMiB,nativeHeapAllocatedKiB,rawLog
ios,baseline,0,1788898374.426455,61817,55008,,193.6,,spikes/rn-cocos/logs/memory-cycles01-ios-baseline-0.log
ios,warmup,0,1788898388.60576,61817,95504,,193.6,,spikes/rn-cocos/logs/memory-cycles01-ios-warmup-0.log
ios,open,1,1788898398.9068859,61817,122000,,194.6,,spikes/rn-cocos/logs/memory-cycles01-ios-open-1.log
ios,closed,1,1788898406.216913,61817,120272,,195.9,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-1.log
ios,open,2,1788898414.157397,61817,139632,,193.4,,spikes/rn-cocos/logs/memory-cycles01-ios-open-2.log
ios,closed,2,1788898420.9632242,61817,122528,,192.9,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-2.log
ios,open,3,1788898428.4647639,61817,137872,,194.6,,spikes/rn-cocos/logs/memory-cycles01-ios-open-3.log
ios,closed,3,1788898435.494056,61817,119680,,195.0,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-3.log
ios,open,4,1788898442.805535,61817,121760,,196.7,,spikes/rn-cocos/logs/memory-cycles01-ios-open-4.log
ios,closed,4,1788898450.310796,61817,123104,,192.9,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-4.log
ios,open,5,1788898457.860805,61817,120640,,194.6,,spikes/rn-cocos/logs/memory-cycles01-ios-open-5.log
ios,closed,5,1788898465.796143,61817,100784,,195.2,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-5.log
ios,open,6,1788898474.687902,61817,120720,,193.7,,spikes/rn-cocos/logs/memory-cycles01-ios-open-6.log
ios,closed,6,1788898484.295723,61817,114144,,196.4,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-6.log
ios,open,7,1788898492.212229,61817,122880,,193.9,,spikes/rn-cocos/logs/memory-cycles01-ios-open-7.log
ios,closed,7,1788898500.364913,61817,100336,,195.4,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-7.log
ios,open,8,1788898509.119345,61817,120352,,197.1,,spikes/rn-cocos/logs/memory-cycles01-ios-open-8.log
ios,closed,8,1788898518.311543,61817,103904,,195.4,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-8.log
ios,open,9,1788898527.647892,61817,119632,,193.1,,spikes/rn-cocos/logs/memory-cycles01-ios-open-9.log
ios,closed,9,1788898535.0089548,61817,99632,,194.5,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-9.log
android,baseline,0,1788898541.170988,8667,342832,241146,,70566,spikes/rn-cocos/logs/memory-cycles01-android-baseline-0.log
ios,open,10,1788898544.568094,61817,115472,,196.5,,spikes/rn-cocos/logs/memory-cycles01-ios-open-10.log
ios,closed,10,1788898554.853018,61817,90448,,196.7,,spikes/rn-cocos/logs/memory-cycles01-ios-closed-10.log
android,warmup,0,1788898561.199185,8667,354220,250289,,73726,spikes/rn-cocos/logs/memory-cycles01-android-warmup-0.log
android,open,1,1788898583.226196,8667,397952,293946,,97772,spikes/rn-cocos/logs/memory-cycles01-android-open-1.log
android,closed,1,1788898586.846451,8667,355004,250985,,73908,spikes/rn-cocos/logs/memory-cycles01-android-closed-1.log
android,open,2,1788898594.5926468,8667,397004,292983,,97288,spikes/rn-cocos/logs/memory-cycles01-android-open-2.log
android,closed,2,1788898598.213533,8667,354844,250823,,74084,spikes/rn-cocos/logs/memory-cycles01-android-closed-2.log
android,open,3,1788898610.343492,8667,396652,292632,,97965,spikes/rn-cocos/logs/memory-cycles01-android-open-3.log
android,closed,3,1788898614.402132,8667,355596,251575,,74217,spikes/rn-cocos/logs/memory-cycles01-android-closed-3.log
android,open,4,1788898622.7460759,8667,398768,294747,,98272,spikes/rn-cocos/logs/memory-cycles01-android-open-4.log
android,closed,4,1788898628.648169,8667,359276,255255,,74497,spikes/rn-cocos/logs/memory-cycles01-android-closed-4.log
android,open,5,1788898638.325294,8667,398092,294067,,98206,spikes/rn-cocos/logs/memory-cycles01-android-open-5.log
android,closed,5,1788898641.68276,8667,356188,252163,,74893,spikes/rn-cocos/logs/memory-cycles01-android-closed-5.log
android,open,6,1788898649.592573,8667,398784,294758,,98259,spikes/rn-cocos/logs/memory-cycles01-android-open-6.log
android,closed,6,1788898653.315788,8667,355984,251958,,75032,spikes/rn-cocos/logs/memory-cycles01-android-closed-6.log
android,open,7,1788898661.199645,8667,398248,294181,,98323,spikes/rn-cocos/logs/memory-cycles01-android-open-7.log
android,closed,7,1788898664.638857,8667,357940,253874,,75094,spikes/rn-cocos/logs/memory-cycles01-android-closed-7.log
android,open,8,1788898672.871395,8667,399124,295057,,98499,spikes/rn-cocos/logs/memory-cycles01-android-open-8.log
android,closed,8,1788898676.831893,8667,356572,252505,,75266,spikes/rn-cocos/logs/memory-cycles01-android-closed-8.log
android,open,9,1788898686.769922,8667,400832,296765,,99303,spikes/rn-cocos/logs/memory-cycles01-android-open-9.log
android,closed,9,1788898690.301096,8667,357576,253509,,75436,spikes/rn-cocos/logs/memory-cycles01-android-closed-9.log
android,open,10,1788898698.354336,8667,399196,295129,,98791,spikes/rn-cocos/logs/memory-cycles01-android-open-10.log
android,closed,10,1788898701.6407738,8667,357604,253537,,75593,spikes/rn-cocos/logs/memory-cycles01-android-closed-10.log
